What don't we know about hotel rooms?	Hotels; What Don't People Know About X?; 	and should.
How did Team Desto came up with the name Desto..?	How Did X Get Its Name?; Desto; 	
How did George R.R. Martin come up with the name Orell?	A Song of Ice and Fire (book series); 	"Orel" means "eagle" in Czech. Is is just a coincidence?
How do I a woo a girl on Twitter or Facebook without being perceived as creepy?	Dating Advice; Dating and Relationships; 	There's this smart and intelligent girl that I like on Twitter. I have hardly any friends on Twitter as its not very cool with my friends. She used to respond and flirt back sometimes, but I tried playing hard to get and pretended to be busy as was away for sometime. Now she doesn't reply. How do I not come across as creepy?
How come when you friend someone on facebook and they haven't accepted it yet, they still show up on your newsfeed?	Facebook Friends; Facebook News Feed; 	
In jQuery, is there an equivalent for getElementById to get an element by class name?	Web Design; Web Development; jQuery; JavaScript; 	I am trying to detect elements by class name instead of ID because they already have classes applied to them. But my Googling has failed me on finding what the equivalent of getElementByID is for class names (something like getElementByClass or something).
What is the longest class or constant name in the Cocoa API?	Objective-C (programming language); 	There's a lot of long class names, constants, etc. in the Cocoa APIs, both on OS X and iOS. For example:  `NSTextViewWillChangeNotifyingTextViewNotification`  But has anyone figured out definitively which is the longest in the official Apple APIs?
What are the most ridiculous Java class names from real code?	Java (programming language); What Are Some Examples of X?; 	Certain Java projects have a penchant for extreme abstraction and overapplication of design patterns, ending up with things that are called something like "AbstractBeanFactoryVisitorFactory
Is it the convention to capitalize the first letter of a class name?	Java (programming language); 	
What are the best ways to name IDs and classes in CSS?	Web Design; Cascading Style Sheets; Web Design Best Practices; 	
What are high class people naming their kids these days?	Names and Naming; Classy People; Children; Personal Branding; 	
Why did Catalyst Class change their name to Hack Reactor?	Programming Bootcamps; Hack Reactor; 	http://catalystclass.com http://hackreactor.com
Why do women that have issues with assholes come talk to me about those issues only to jump right back on the guy the next day/week/month? What do they want?	Dating and Relationships; 	Is it even any use at all that I respond to them about it? Seems like no mather what i say they allways go back. They even get distant from me afterwards, having a hard time admitting they were weak again. It's like talking sense is no use at all.
What is the name of the Korean TV drama about the girl who becomes a  cook in the imperial court, gets sent off into exile, and comes back as a  nurse?	Korean (language); Television Dramas (Asian); 	When I went to Korea with W&L Chamber Singers, we watched this TV show on our bus, and I can't remember the name. This is a follow-up question to What are some of the best Korean TV dramas? [ http://www.quora.com/What-are-some-of-the-best-Korean-TV-dramas ].
How would God say someone should be a good friend to someone who comes to them with problems all the time but never takes their advice? Examples below.	Friendship; Religion; Psychology; 	Example 1- (Her) "I just don't want to live any more and I've decided that starving myself is the best way to kill myself because it did the most damage the last time."  (Me) "I think starving yourself is just going to make you weaker & would be a long, painful process.  Plus, I don't think you really want to die or you wouldn't be talking about it with me.  I think you just want out of the pain."  (Her) "Shelly, nothing you say will make me change my mind.  My mind is set & that's that."   I told her aunt in chat on Facebook & all she had to say is "she's a drama queen biotch" & "I don't believe that for a minute or she would be losing weight."    Example 2- (Her) "Last week, when I had sex with Antonio, I decided I didn't want to be with him, because it turns out he doesn't know a thing about sex.  But just last night, his little brother Caleb came over and oh he is so good in bed!"  (Me) "I didn't know you did anything with either of them.  Whatever happened to Calvin, the minister at that church?"  (Her) "Well, he's good at oral sex but really, he's history.  I just want something new."  (Me) Well, let me suggest that you're using these guys to distract you from the pain inside & that any time you feel any pain, you'd rather numb out from it than face it."  (Her) "Maybe I DO want to numb out from it.  What's wrong with that?  Plus, there's nothing wrong with a little fun." (Me) "Yes, but don't you want a man to love you?  Don't you want to have a happy marriage down the road?  How are you going to get there unless you learn to appreciate yourself & deal with what's going on inside?  Doesn't it bother you that in the past year you have had sex with about 10 different guys & in the past two weeks the last 2 were brothers? (Her) "Shelly.  You are not going to make me feel bad about myself.  This is my path & I'm fine with it.  Why can't you be??  What I need is a supportive friend, not someone who's always slashing into me, attacking me!" (Me) "When you first came to me, it was with the request that I give you advice, help you with your problems.  All I'm doing is pointing out what I see you doing wrong.  I also tell you when I'm proud of you."  (Her) "Yeah, well I just don't see it.  You're always attacking me & I'm afraid if I say the wrong thing back, you're going to leave me again.  As far as that kind of relationship, I don't want you to play the teacher role with me any more.  In a few months, I will be 18.  I think I can figure it out for myself now & I want you to see me as an equal."  (Me) "Listen, I respect your right to make your own decisions.  But you're the one coming to me with your problems.  Do you want my feedback or do you just want me to lie & tell you what you want to hear??  I am here for you but you know how I feel about all this sex in your life.  You know that I'm a Christian & what I believe Jesus said about this.  If you don't want to hear what I have to say, why aren't you going to someone else?? (Her) "Shelly, why do you have to push me away like that??  Now you're going to leave?  I've always thought of you as like a mother to me.  Why can't you love me as much as you love your son?  Because of you, I'm crying so hard I can't even see!  Now I have nothing left to hope for!"   From the suggestions others have given me on this, which includes her, har aunt, my mom and a friend from church, my options are:   -show her more support and don't be critical of any of her behavior. -ignore her and don't let her push my buttons -just stop talking to her altogether.  She's not open to your advice and just wants to hear herself talk. -be there for her when she calls and answer her questions.  When she doesn't like what you have to say, tell her that's your advice and let her go.  Other than this, pray for her.  That's all you can do.   I think I like the last option best.  I don't want to walk away, yet I don't want to say there's nothing wrong with her behavior at all.
How do I find a good auto mechanic in Las Vegas who will come to me?	Popular Mechanics; Las Vegas; 	
How can a nerdy and shy guy approach an attractive girl?	Dating Advice; 	
Write a program which contains a class named String (please take care of the case). The class should be capable of holding a string containing more than one word.?	Programming Interviews; 	The class should at least have a parametric constructors by which we are going to supply a sentence at run time. Class string should be defined in this way that the following statement should be executed with their proper output. String str1; //string with length 0 String str2; cin>>str2; // to print the char elements of str2; (Don’t use any string library function for the any purpose) You are free to add any C++ concepts, any other data members, member functions and constructors you think are necessary to solve the problem.
How do I know in which social class I am?	Middle Class; Identity; Intelligentsia; Social Class; Society; Working Class; Class Struggle; 	
1 vs all approach : If you have classes A,B,C and D, and want to do multiclass SVM, which steps do you follow?	Machine Learning; Support Vector Machines; Supervised Learning; 	There exists a confusion on how to use SVM to do multiclass clasification. I have done single class before and used VLFEAT Libraries. In this comment i will first share my method simply and ask for the answer.   I am learning 4 '1vsall SVMs' where i;  Label A as 1 and not A as -1 ,and getting support vector w_A, bias_A Label B as 1 and not B as -1   and getting support vector w_B,bias_B ...  and so on.   After that, to test the performance, i simply do vector multiplication as :   testScores_A = w_A'*testHistograms_A+bias_A testScores_B = w_B'*testHistograms_B+bias_B  testHistograms vector contains data from all 4 different classes.   After having all 4 test scores respectively (if all steps are right above?), i am confused on :   How to calculate precision-recall?  How to calculate confusion matrix?   Thanks a lot in advance.
Why do people in first class want to board first?	Air Travel; Human Behavior; 	Assuming the first class cabin has its own dedicated overhead storage, why do people want to board their plane so much earlier than they have to? If it's because they find the seats so comfortable, why are they in such a rush to be the first people off the plane even though it means they'll wait longer at baggage claim?
Which hobby classes should you join if you want to maximize socialization?	Hobbies; 	
Will the Cloud Girlfriend  also accept friend requests from and interact with friends of her "client?	Cloud Girlfriend (startup); 	Sounds like a pretty big job, even if there isn't any deception.
How do people feel about being approached on the street by a no-name fashion blogger who wants to take a picture and post it online?	Blogger Outreach; Fashion Photography; Fashion and Style; Street Photography; Blogging; Manners and Etiquette; Online Fashion Companies and Websites; 	
What are some ways a girl will let you know she wants you to approach her?	Pick-Up Artists; Romance (love); Dating and Relationships; Dating Advice; 	In a coffee shop, a bookstore, the supermarket, or the subway - what are some signs that she'd like you to say hi?
Why do some guys find it easier to talk to girls than other guys?	Rapport Communication; People Skills; Social Advice; Interpersonal Interaction; 	What does it say about them? How can they get better at relating to other guys?
Since  I need more clients but I’m coming up short on finding some, what is the best way to get your name out there?	Advice; 	
There's a beautiful woman in my yoga class. How do I initiate a conversation with her when she's always either talking to her girlfriends or doing yoga?	Dating Advice; Yoga; Dating Etiquette; Social Advice; Friendship; Dating and Relationships; 	I think there are 2 girls who keep looking my way. Either it means nothing or there's some interest. I really want to talk to them, or create a situation where I can strike up a casual conversation. Any tips or personal experiences are highly appreciated. 
How can I find all Java inner classes in my Eclipse project?	Java (programming language); Eclipse (software); 	I want to check if references to them leak outside the enclosing class.  Best if it can be done from inside Eclipse, but command line tools would be acceptable.
How can I find a good low-cost acting class in the Bay Area?	Acting; Improvisational Theatre; Stage Acting; San Francisco Bay Area; Improvisation; Voice Acting; Improv Comedy; 	
How do you find a world class front end developer in London?	Engineering Recruiting; Front-End Web Development; Computer Programming; Web Development; 	
How woud you find and market upper class people online?	Web Marketing; 	
I'm about to embark on a screenplay collaboration with an old friend from college. He told me his idea (which is really cool) and wants me to help him develop it. What kind of contract should we come up with beforehand?	Legal Issues; 	I want to broach the topic without seeming like a dick, especially since he trusted me with his idea. That said, I don't want to put a bunch of work in and not get credit IF it ever gets rolling...
I know the facebook URL of a person and I can put in the URL and see the person's profile.  But if I search for the person's name, it doesn't come up in Facebook search results ( I know I'm not blocked by this person). How is this possible?	Facebook; 	I can't find any way to make it so my profile doesn't come up in Facebook Search.  I have to continually deactivate my account because I have a restraining order against my ex-husband (he was very violent).  I want to be able to be on Facebook and not have him continually find me : (  Can some smart person PLEASE help me?
I want to find out if there are any Hildegard von Bingen recitations coming up in San Francisco. Which website should I go to?	Events; 	I've tried searching meetup.com, twitter.com, google.com, http://www.sanfrancisco.travel/events/, but can't find anything. Maybe there aren't any Hildegard von Bingen recitations in the near future...  In general, though, which is a good place to go to to find out what's on nearby? E.g. I want to find out when the next Jefferson Airplane cover band is playing. Where's a good site I can go to?  I fear the answer here is going to be either "google" or "none". In which case I might start a startup to solve the problem.
How to find/approach a technical lead/co-founder without coming across as "You do the programming while I do other stuff"?	Startups; 	
I am 15 years old, and male. I go to a very isolated school, and don't know any girls outside school, and want to meet some. How do I approach a group of say, 2-4 girls if I'm with a friend and talk to them and get their numbers and stuff??? Please answer, it would help a lot, thank you	Dating and Relationships; 	
How can I find a lost friend if I don't have her married name?	Social Networks (online); Finding Old Friend; 	
What are the most difficult classes in college?	Education; Higher Education; Difficulty; Colleges and Universities; 	
What given names come with the most nicknames?	Names and Naming; 	
Where does the name chow chow come from?	Dogs (pets); Etymology; Words; 	The Chinese name is sōngshī quǎn 鬆獅犬 which doesn't sound anything like chow chow.
Where did the name Windows 7 come from?	Windows 7; Microsoft Windows; 	If you start at Windows 1.0 to 3.0, then count 95, 98, XP and Vista, the latest version of the consumer version of Windows should be "8". Was Vista intentionally ignored in the versioning?
Where does each US State's name come from?	U.S. History; The United States of America; 	Some are obvious, like New York. Some are bizarre like Massachussettes. I imagine most of those are Native American terms, but I'm curious to know a little about each! Feel free to provide details for one particular state if you know some interesting details :) The answer wiki should be the real jewel here when complete.
Where does the fanzine name "Fangoria" come from?	Commercial Media; 	
Where does the name 'Milton Keynes' come from?	City and Town Names; Milton Keynes, Buckinghamshire, UK; 	
What does the name UNIQLO mean and come from?	Brands and Branding; Brand Naming; Word Definitions, Terminology, and Jargon; UNIQLO; 	
Where did the name 'Nothing Magical' come from?	Nothing Magical; Names and Naming; 	
Who came up with the name "I Can't Believe It's Not Butter!"?	Retail; Marketing; Product Naming; Product Marketing; Names and Naming; 	
Where does the name Bad Robot come from?	Television; How Did X Get Its Name?; Movies; Television Business; J.J. Abrams (movie director and writer); 	
Where does Apache Cassandra's name come from?	Cassandra (database); 	No information appears to be available online.
Where does the last name "Mordecai" come from?	Names and Naming; Genealogy; 	What is the lineage/family history?
Where did the name Terrible Towel come from?	Pittsburgh Steelers; Pittsburgh; Football (US); NFL; 	Why not Pittsburgh Towel or Terrific Towel?
Who came up with the name 'Slim Shady'?	Eminem; Hip Hop Music; Hip Hop and Rap Artists; Rap Music; 	Why was this name chosen and how much thought went into the choice?
Did the name "Quora" come from Qur'an & Torah?	Quora; Folk Etymology; 	Where did the name 'Quora' originate?
Who comes up with all the names for dresses on modcloth?	ModCloth; 	Seriously, every dress has a clever pun or phrase as its name.
What startups used a naming company to come up with their name?	Business Strategy; Domain Names; Business; Marketing; Startup Names; 	This is a follow-up question to How effective are naming companies in creating quality startup names? [ http://www.quora.com/How-effective-are-naming-companies-in-creating-quality-startup-names ].
How do I handle my girlfriend talking to a guy friend, a lot?	Dating and Relationships; 	I've been dating this girl for about 10 months now, and it's been a roller coaster of a ride. Both good and bad. When things are great between us, when we're both happy, it's the most amazing time of my life, a time I don't want to let go. But when things aren't so great, it absolutely sucks and I wish it could go back to the happy times.  Over the past few weeks she's been talking to a friend of hers. I haven't met him, but she said they go a ways back. Now I don't have a problem with her talking to guys, but what I do have a problem with is the amount of talking (texting almost constantly) and Skyping till 3 or 4 in the morning. She gets extremely upset with me every time I bring up how uncomfortable I am with it. And she keeps saying that there's nothing going on and that I have to get over it. If I can't then she's leaving me.  Every time they talk she'll tilt her phone a bit so I can't see, or when they're on Skype and I'm falling asleep, she'll move her screen so I can't see. She says she doesn't like people looking at her screen, but I just don't know.  I want to believe her, I want to trust her and I want to be okay with this. But I just can't. Maybe I'm jealous, maybe I'm insecure in my abilities to keep her as my girlfriend.  I just don't know how to handle this. I just want to be okay with it. :(  She's amazing and I love her. And I might be reading this so incorrectly that I'm being an idiot. But I don't want to lose her.
I have a .lib file that came bundled with a C++ class assignment. What is it? Is there a way to use it to compile on Linux (using MinGW)?	Programming Languages; C++ (programming language); Software Engineering; 	file gives me: CS106CPPLib.lib: current ar archive
By what processes do white-collar workers come to imagine their interests as linked to the interests of capital, rather than the interests the of the broader working-class?	Questions That Contain Assumptions; Sociology; Social Class; Economics; Socialism; Capitalism; 	This is a follow-up question to Why are the working class more authoritarian than other socioeconomic classes? [ http://www.quora.com/Why-are-the-working-class-more-authoritarian-than-other-socioeconomic-classes ].
What are some examples of successful MMA fighters who DID NOT come from a lower socio-economic class?	MMA; 	
What was the point of the beginning scene where Noriko comes late to class and then the teacher gets stabbed by another kid (Yoshitoki)?	Movie Story and Plot Themes; Battle Royale (2000 movie); 	Why does the teacher get stabbed?
What is congee known as in the various of Chinese? Where does the name 'congee' come from?	Chinese Food; Congee; History of Food; 	
How does a shy guy get a girlfriend?	Meeting New People; Dating and Relationships; Introverts and Introversion; Meeting Women; 	Ok, I'm shy. I could classify myself as an introvert also. How can I approach girls and possibly ask them out? How can I meet women and get to know them.
How long should a person hold on to their college class notes?	The College and University Experience; Data Storage; 	There are issues of storage space, reference (although so many resources are now electronic), and nostalgia.
What do I need to found a life-drawing class?	Drawing; Fine Art; 	As part of a university art society, I wish to run a life drawing class. What are the bare essentials we need to run it effectively?
Where can I find butchering classes in Los Angeles?	Food in Los Angeles; Culinary Arts; Food; 	I am looking for quality butchering classes in Los Angeles for an advance chef.
Where can I find kickboxing classes in Seattle?	Kickboxing; Seattle, WA; 	East side
Where can I find pottery classes in London?	Where Can I Find X in London?; Pottery; 	Preferably evening or weekend classes for a beginner/intermediate level that are reasonably priced
Where can I find pottery classes in Kingston, ON?	Crafts (Practical Arts); Kingston, ON; Pottery; 	
Where can I find a good html class in DC?	HTML; Washington, D.C.; 	
Where can I find yin yoga classes in NYC?	Yoga; New York City; 	
Where can I find English yoga classes in Barcelona?	Expatriates; Fitness; Barcelona, Spain; Yoga; Spain; 	any type of yoga would do, but I would like to attend a class taught in English.
Where can I find a good typography class in NY?	New York City; Classes in New York City; 	Not looking to get a degree, just an extracurricular class aimed at helping designers.
Where can I find calligraphy classes in Chicago?	Chicago; Calligraphy; 	 
Where can I find interesting cooking classes in Melbourne?	Food; Cooking; Melbourne, Victoria, Australia; 	
Should elementary schools have classes on how to make friends?	Elementary School and Elementary Schools; Friendship; Education; 	
How can I make friends with the people I am in class with?	Graduate School; Friendship; Schools; 	
Why is it that being a 21 year old unattractive guy, a lot of my friends(who are girls) tell me I should find someone, like "you SHOULD find someone, eventually"?	Dating and Relationships; Dating Advice; 	I have been triggered to ask this after my sister told me the same thing, like it is too late. Is it too late to find someone? What should I do?
How come I can't find my calendar in Outlook-Mac?	OS X; OS X Applications; Microsoft Outlook for Mac; 	I'm on my first Mac ever -- so far so good. At first, my Outlook looked just like it did in Windows -- but now something has changes and I cannot see my calendar or task list or anything like that. How can I get the standard view back?
How do I find out when Uber is coming to my city?	Startups; Disruptive Technology; Geolocation; Uber; Location-Based Services (LBS); 	I currently live in Detroit and I'm really interested in working with Uber to bring their on-demand private car service to this city, but how can I find out where they are in the process of bringing Uber to this and other cities?   I understand that they have current openings for positions for cities they're operating in and "Launcher" openings for "multiple countries" but the information I am looking for is not available here. Also, I don't see this information on their blog. I realize there may be good rationale to keep this information private, but any tips would be helpful.
I have an MBA, how come I can’t find a job?	Jobs; 	
Is Facebook approaching the end of its lifecycle? What comes after Facebook?	Startup Advice and Strategy; Product Lifecycle Management; Social Media; Facebook; Startups; 	
How do I convince ambitious girl that I'm a great partner for her? We know each other for 3 years. This year she appeared to me as a girl, who I want to be with. We have been 2 times on a "dates". Once in cinema and once in coffee bar. Also we have been to 3 school trips, where I shot about 150 photos of her. She knows about every photo. We had a lot of fun together :) She likes me (my stupid jokes, my helpful and big-hearted character, says I'm handsome), but she says now, she doesn't have time to go out with me. She sings, plays guitar, makes handmade jewellery and work hard for school, so she may have less free time. But maybe she doesn't want to be with me because she is not ready? She's a pretty girl and I know some guys want to date her too. I'm not desperate, so I won't beg her to date me, but it would be perfect to be with her.  P.S. I'm 19 and she's 16?	Love; 	
Which math classes should every Computer Science student take?	Software Engineering; Web Development; Computer Programming; Learning; Algorithms; Computer Science; Mathematics; 	What are some particularly necessary/helpful math courses or topics for a CS student to explore, and why are they helpful?
What do math professors expect their students to take away from class?	Academia; Mathematics; College and University Faculty; 	Knowledge of all the theorems and their proofs?  A general feel for the subject?  Increased mathematical maturity?  If you take an algebra course now, do they expect you to remember Sylow's theorem three years later?  Or just the standard techniques used to prove algebra theorems?
What should a guy do when an attractive drunk girl comes on to him?	Drunkenness; Dating Etiquette; 	This just happened to me at a Super Bowl party. The thing is, she did it in front of everyone (asking me to have sex with her, etc), and it put me, a shy person to begin with, on the spot. How should I have handled this?
Where did the quote "Women want you and men want to BE you" come from?	Phrase Origins; 	Google just reveals a bunch of lame PUA blogs.
What is the best place to take hand embroidery classes in Seattle?	Seattle, WA; Learning; Embroidery; 	I would really like to improve my embroidery skills.  I embroider by hand.
Jae Kim : Hey, thanks for answering the engineering question. I wanted to ask since you have both degrees, what kind of problems do you exactly solve in EE? I've researched it and i've come to understand that its a lot of physics and actually come coding (C++ i think). Do you work on big power systems, computers etc..? Also being in both fields, how do you find the job market? Which market do you think is better? I do a lot of tech blogging for different sites, and it seems that there are more coders then ever!  Thanks so much -Jeff?	Direct Question; 	
Is it inappropriate or creepy to buy a little girl who is with her father some ice cream because her father doesn't want to?	Manners and Etiquette; Parenting; 	And what would be a good way of broaching the transaction? Give the dad five bucks and tell him to buy her some ice cream, ask to buy it for her, or how?
How come the director of Engineering at Facebook is "allowed" to bend the rules of name using? Isn't it "unfair" to every other user?	Facebook Engineering; Facebook; 	https://www.facebook.com/boz
Will I ever find love?  I know this question is pretty pathetic for a 21 year old, but watching all of my friends in relationships, or having been in the past.. And then there's me, never had a relationship, sat wondering why Im so terrible at finding anyone who likes me and what not. This isn't a ploy for self pity or fishing or any jazz, more a genuine question for anyone who has been where I am or can give some good advice...	Needs Spelling, Grammar, or Formatting Edits; Romance (love); Needs to Be Shorter; 	
What's your philosophy on accepting friends on Facebook? Do you want to know the person or do you accept friend requests from strangers?	Survey Questions; 	
Will the 10x engineers reveal themselves OR can we come up with a better name?	Engineering; Productivity; 10X Engineers; 	In my experience I have never met developers who called themselves "10x engineers".  Yet, somehow tons of people have opinions on how to recognize these mysterious folks such as, "They don't even see the code. All they see is blonde, brunette, red-head.  Plus they love to debug code."  Are there developers out there willing to say, "Yes, I am 10x" or can we come up with a better name?
Is there an app such that it sends mail or notification if some friends comes to online?	Facebook Applications; Facebook Platform; Facebook (iOS App); Facebook; Facebook for Android (app); Facebook App Center; Facebook Application Development; 	
Should a CS undergrad student take a semester off of college to take online classes?	Online Education; edX; Codecademy; Software Engineering; Computer Programming; Higher Education; Colleges and Universities; Career Advice; Gap Year; Life; Coursera; Udacity; Codeschool; Life Advice; Education; Computer Science; 	Think Udacity [ http://www.quora.com/Udacity ], Codeschool [ http://www.quora.com/Codeschool ], Codecademy [ http://www.quora.com/Codecademy ], Coursera [ http://www.quora.com/Coursera ], and edX [ http://www.quora.com/edX ]. Assume the student's summer is already very busy and taking online classes during a semester in college is not feasible.
How come Dropbox has not been acquired yet?	Silicon Valley Mergers and Acquisitions; Dropbox; 	Don't get me wrong I love Dropbox and have been using it since day one. I'm just really amazed to see that the company has remained independent and all the more surprised not to have heard/read  rumors about a potential acquisition.  I cannot believe that Dropbox has not been approached by Google, Microsoft, or Apple.  So I guess i'm wondering why would Dropbox refuse to be acquired and what would they gain by remaining independent. I mean, however good the service may be, synchronization remains a sort of niche service for geeks.  I know Dropbox's co-founder Drew Houston in on Quora. I would love to hear what he has to say.
What are the best Stanford math classes?	Stanford University Courses; Mathematics; Stanford University; Statistics (mathematical science); 	Also, what are good intro to statistics courses for an undergrad?
What are some of the best Math classes at Harvard?	Mathematics; Harvard College Courses; Harvard University; Harvard College; 	
Is it bad that ever since I got into MIT my tolerance/stamina for classes I don't want to take is gone?	MIT (Massachusetts Institute of Technology); 	Classes like Microsoft suite 2010 (an actual class) is actually harder for me than differential equations because the former is so intellectually lacking that I can't get myself to actual do the work, especially since I've already gone through six or seven upper levels classes that are simply boring.
I want to learn to draw without taking classes (self-taught)? what books should I look into.	Fine Art; Drawing; 	Specifically cartoon drawing, animating for storyboards and general scenic drawing
What are the best Stanford cs classes to take if you want to build a mobile or web app?	Stanford University; Computer Science; 	
Will it look bad to graduate schools if I take a required English class at a community college instead of at my university?	Graduate School Admissions; Colleges and Universities; Graduate School; 	I will be applying to graduate school in the sciences. I don't want to take English at the university because it'll probably be more work, but I can transfer over the credits from a CC.
How come Facebook Messaging has not replaced text message yet?	Facebook; Instant Messaging (IM); Texting;  Facebook Messages; 	(in United States)
How do you undo sending a page request to all your Facebook friends?	Facebook; 	Oops. 
What will it take for an Indian technology startup aspiring to be like APPLE when it comes to product design, to find its own Jonathan Ive?	User Experience; Startups in India; Design; Finding Co-Founders; Startups; Startup Advice and Strategy; 	Is it more difficult for a young technology startup from India to find a UX/UI designer with an entrepreneurial spirit?   Is it difficult to find a design intern in India who could join at early stage of a startup and work all the way to become the Chief Design Officer. Someone who could be as important as a co-founder if not a co-founder himself?  Is there a disconnect between the expectations of a UX/UI designer and the tech product startups of India? Do tech startups in the indian ecosystem still dont understand what's the value of product & information design?   Or is it just too difficult for a tech entrepreneur who has a huge respect for design, to bump into a passionate young designer driven by the same reasons, purpose over money, vision over stability?  P.S.: The question is less about Steve or Jony or APPLE but more about the intent!
Hi there. I want to know that can I use shortcut keys with power point and how? If you can then please give me some examples also..	Power Point; Computers; 	
Why did Rugby never take off as a sport in the USA? how did the nfl come in to being?	Sports; 	
How can a guy try on girl clothes in the store without people considering him creepy?	Clothing Retailers; Crossdressing; 	
Is it creepy or cute for a girl to send a guy an e-card (or related item) on Valentine's day if they've casually dated, but are currently non-exclusive (in different cities)?	Social Advice; Valentine's Day; Dating and Relationships; 	
I just started boxing, my next class is tomorrow and my hands hurt so bad i cant imagine punching for 3 hours straight again. Anyone know how to take care of this problem?	Muscles; Boxing; Exercise; 	p.s. i already soaked them in minty water which helped a bit and tried stretching out the muscles
What would you do if you just graduated from college in a subject you never wanted to take and now you have a job in hand but you know that you are gonna crack sooner or later due to the guilt of not having made the right decision at the right time?	Survey Questions; Life; 	
How much does a world class Web developer make in Latin America? And where can a world class web developer find jobs in L.A.?	Startups in Brazil; Latin America; Startups in Chile; Startups in Latin America; 	I got a CS degree, worked in web projects using RoR, Play Framework and have a really good grasp on algorithms, design patterns, etc. I am not sure if I am, but at least I strive to become world class and I work constantly on improving my skills.   Yet I have struggled to find an appropirate job in Latin America after returning home from my studies. Where are the tech jobs in Latin America? Or are there any? What are some advice you could provide for this situation?  All I have been able to find are very low pay boring corporate jobs. Is this the only thing I can expect  to find?
What does a girl have in mind if she sends friend request to a unknown person on facebook?	Dating and Relationships; 	
What should a guy do if he comes to know that his girlfriend had worked as a mistress in a BDSM club before their relationship started?	Dating and Relationships; 	
How do you find the married name of someone who you once knew?	People Search; 	I've lost touch with an old friend but I don't know her married name, so I can't figure out how to reconnect with her on the Interwebs.
How often should a guy buzz cut his hair?  Im a college student not focussed on my looks but I want to look good enough to attract the ladies. I wear name brand tshirts but not jeans and shop at ross type stores (just for some background).  How do girls feel about this?	Hairstyles; 	
How should I know if I should come out of the closet?	LGBTQ; Coming Out & Outing; 	I've recently come out to myself and my significant other.  How do I know if/when I should come out to anyone/everyone else?  Is this something that everyone should do eventually, or do some people never do it (and still do okay - I don't want to be damaged by having to keep a secret all my life and/or will it damage me)?
Will Rose ever come back into Doctor Who?	Doctor Who (TV series); 	
Will The Dark Knight Rises come to mainland China?	The Dark Knight Rises (2012 movie); Movie Release Dates; Business in China; Chinese Cinema; China; Chen Guangcheng; 	Surely it's a great financial loss for both the studio and the Chinese cinema industry?  Does it have something to do with Christian Bale being roughed up by the local thugs guarding blind activist Chen Guangcheng while trying to visit him late last year?  I can't express how disappointed I am with this news, I'm seriously contemplating a day trip to Hong Kong next month.
Im an owner/ceo and want to get feedback from my employees on my performance to better serve them and the company. I find people gun shy when talking to the boss/owner. Suggestions?	Feedback; 	I was looking for anonymous 360 review web based apps, cant seem to find anything good though?  this is my first crack at posting a question. hope i am using the proper etiquette and it will illicit some responses....cc
Why are guys so creepy?	Dating and Relationships; 	*sometimes
How fit should you be before taking Krav Maga classes?	Martial Arts; Krav Maga; Fitness; 	
How do some people manage to take 6 classes at MIT?	MIT (Massachusetts Institute of Technology); College and University Students; 	
Anyone has taken classes at a Confucius Institute and how do you feel about it?	Chinese (language); 	How are the teachers there, how are their teaching skills, and what is the school reputation around the neighbourhood?
How can I take classes at Stanford without paying for them?	Stanford University Courses; Stanford University; 	I recently graduated from my masters program in a good school and moved to the bay area for my first job in the US. I am interested in taking classes at Stanford. While, I would like to pay for them, I'm not in a financial situation where I can do that. So, I wonder how can I take these classes? (and no online classes please.) I am interested in Computer Science, Design (Industrial, Graphic, HCI), Psychology and Behavioral Sciences.
If you know one of your good friends is cheating on his girlfriend with a girl that you wanted to get with, what should you do in order to have more time for playing World of Warcraft?	Video Games; Joke Question; Hilarious Questions; World of Warcraft; 	
How do you get to know other students in large lecture classes?	Meeting New People; Friendship; Interpersonal Interaction; 	See also: How do you get to know other students in a small class? [ http://www.quora.com/How-do-you-get-to-know-other-students-in-a-small-class ]
How do you get to know other students in a small class?	Meeting New People; Interpersonal Interaction; Friendship; 	See also: How do you get to know other students in large lecture classes? [ http://www.quora.com/How-do-you-get-to-know-other-students-in-large-lecture-classes ]
Is it creepy that a guy in his early forties hits on a girl in very early twenties? Why or why not?	Dating Advice; Dating and Relationships; 	
Is it creepy that a girl in her early twenties hits on a guy in his very early forties? Why or why not?	Dating and Relationships; Dating Advice; 	This is a follow-up question to Is it creepy that a guy in his early forties hits on a girl in very early twenties? Why or why not? [ http://www.quora.com/Is-it-creepy-that-a-guy-in-his-early-forties-hits-on-a-girl-in-very-early-twenties-Why-or-why-not ].
If I want to buy the new iPhone when it comes out, but want to keep my current voice (family) plan and just add a data plan, how much will it cost me? 	AT&T; Mobile Phones; iPhone; Apple Inc.; 	I have been an AT&T customer for many years so will I qualify for some sort of deduction? Do I have to add a 2 year voice and data plan, or can I just add the 2 year data plan to qualify for the better price?
If you didn't take any science classes in college (undergrad) can you still get into a medical school?	Medical School; Medicine and Healthcare; MCAT; 	If yes, what's the best route to take next because you still need to take certain classes (physics, chem, ochem, bio, etc.)? College level science classes or nearby community college? Then study for MCATs obviously.
What classes/majors should a freshman take if he/she is thinking about building startups from college?	Colleges and Universities; Computer Science; Stanford University; University of California, Berkeley; Business; Startups; 	
